"filename", "language", "TypeScript", "XML", "TypeScript JSX", "CSS", "JavaScript", "JSON with Comments", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Util/dateFormat.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 11
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Util/sumCartPrice.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Util/uploadToCloudinary.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/WishList/WishList.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/WishList/WishListItem.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 0, 0, 0, 0, 1, 3, 44
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 1, 14
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/tsconfig.app.json", "JSON", 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 3, 27
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 3, 25
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/vite.config.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"Total", "-", 2189, 2, 4578, 55, 39, 10, 5442, 40, 19, 275, 683, 13332
